# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Mon Feb 16 13:52:48 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHKLMN</i> (cf. Bessell 1990 + Bessell & Brett 1988)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  UXmag   BXmag   Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag    Lmag    L'mag   Mmag
0.0152 0.01508 7.00000 0.5455189347 2.2799131534    0.545 -0.926  3.5324  4.182    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.084 11.665 10.382 10.414 9.045 7.991 6.595 5.279 4.589 4.347 4.150 4.035 4.093
0.0152 0.01508 7.00000 0.5500000119 2.2836582633    0.550 -0.921  3.5330  4.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.071 11.645 10.360 10.392 9.024 7.972 6.580 5.268 4.577 4.336 4.140 4.026 4.085
0.0152 0.01508 7.00000 0.5591805577 2.2911158732    0.559 -0.910  3.5349  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.044 11.595 10.305 10.337 8.970 7.925 6.546 5.246 4.552 4.313 4.120 4.008 4.069
0.0152 0.01508 7.00000 0.5896968842 2.3139976206    0.589 -0.875  3.5403  4.196    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.957 11.444 10.140 10.173 8.809 7.783 6.439 5.172 4.472 4.238 4.053 3.948 4.014
0.0152 0.01508 7.00000 0.6000000238 2.3211213258    0.600 -0.863  3.5418  4.198    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.929 11.400 10.092 10.125 8.761 7.739 6.407 5.149 4.446 4.214 4.031 3.928 3.995
0.0152 0.01508 7.00000 0.6240718961 2.3367155986    0.624 -0.834  3.5470  4.207    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.855 11.270 9.946 9.979 8.616 7.612 6.317 5.089 4.380 4.154 3.977 3.883 3.954
0.0152 0.01508 7.00000 0.6499999762 2.3520353107    0.650 -0.805  3.5517  4.215    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.783 11.149 9.810 9.844 8.481 7.491 6.230 5.030 4.315 4.094 3.924 3.835 3.911
0.0152 0.01508 7.00000 0.6701167226 2.3629868633    0.670 -0.780  3.5563  4.221    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.720 11.041 9.686 9.720 8.356 7.379 6.154 4.979 4.260 4.043 3.879 3.797 3.876
0.0152 0.01508 7.00000 0.7000000477 2.3779267258    0.700 -0.743  3.5627  4.229    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.627 10.887 9.509 9.543 8.178 7.219 6.045 4.905 4.178 3.969 3.813 3.740 3.823
0.0152 0.01508 7.00000 0.7500000000 2.3998889087    0.750 -0.584  3.6178  4.320    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.229 9.905 8.412 8.449 7.161 6.325 5.553 4.647 3.920 3.784 3.701 3.680 3.795
